#,单词,音标,解释,笔记
0,"intermarriage","英:/ɪntə'mærɪdʒ/ 美:/ˌɪntɚˈmærɪd ʒ/","- n. 异族结婚
- 近亲结婚",
1,"indices","英:/'ɪndɪsiːz/ 美:/'ɪndɪsiz/","(index的复数)",
2,"unprecedented","英:/ʌnˈpresɪdentɪd/ 美:/ʌnˈpresɪdentɪd/","adj. 前所未有的, 无前例的

副 词:  
unprecedentedly",
3,"deference","英:/ˈdefərəns/ 美:/ˈdefərəns/","n. 顺从",
4,"discourse","英:/ˈdɪskɔːs/ 美:/ˈdɪskɔːrs/","- n. 论文；演说；讲道
- vi. 讲述，著述

时 态:  
discoursed，discoursing，discourses",
5,"contempt","英:/kənˈtempt/ 美:/kənˈtempt/","n. 轻视，蔑视；耻辱",
6,"chunks","/tʃʌŋk/","n. 大块，矮胖的人或物（chunk的复数形式）",
7,"spontaneity","英:/ˌspɒntəˈneɪəti/ 美:/ˌspɑːntəˈneɪəti/","n. 自发性,自动",
8,"spell","英:/spel/ 美:/spel/","- vt. & vi. 拼写，拼读
- vt. 招致，带来(不好的结果)
- n. 咒语；符咒
- 中魔
- 魅力，魔力；威势
- (某事物持续的)一段时间
- 活动或工作的一段时间；轮班的时间

时 态:  
spelled，spelt  
spelling，spells",
9,"innermost","英:/ˈɪnəməʊst/ 美:/ˈɪnərmoʊst/","- adj. 最深处的
- 隐私的, 最隐秘的",
10,"modified","英:/'mɔdifaid/ 美:/ˈmɑdəˌfaɪd/","- adj. 改良的；改进的，修改的
- v. 修改；缓和（modify的过去分词）",
11,"course","英:/kɔːs/ 美:/kɔːrs/","- n. 课程
- 进程, 过程
- 航向, 航线
- 一道菜

时 态:  
coursed, coursing, courses",
12,"conscious","英:/ˈkɒnʃəs/ 美:/ˈkɑːnʃəs/","- adj. 神志清醒的
- 意识到的; 注意到的
- 自觉的; 蓄意的

副 词:  
consciously",
13,"clinic","英:/ˈklɪnɪk/ 美:/ˈklɪnɪk/","n. 诊所",
14,"aggravate","英:/ˈæɡrəveɪt/ 美:/ˈæɡrəveɪt/","- vt. 使恶化, 使更严重
- 激怒, 使恼火

时 态:  
aggravated, aggravating, aggravates 

名 词:  
aggravator",
15,"panel","英:/ˈpænl/ 美:/ˈpænl/","- n. 仪表板；嵌板；座谈小组，全体陪审员
- vt. 嵌镶板


时 态:  
paneled, panelled 
paneling, panelling 
panels, panels",
16,"inconclusive","英:/ˌɪnkənˈkluːsɪv/ 美:/ˌɪnkənˈkluːsɪv/","- adj. 非决定性的,无结果的
- adv. 非决定性地,无结果地
- n. 非决定性,无结果

副 词:  
inconclusively",
17,"righteous","英:/'raɪtʃəs/ 美:/'raɪtʃəs/","- adj. 正直的，正派的
- 正当的；道义上无可指责的
- adv. 正当地
- n. 正直；正当；正义

副 词:  
righteously

名 词:  
righteousness",
18,"grievance","英:/ˈɡriːvəns/ 美:/ˈɡriːvəns/","n. 委屈, 苦衷, 不满, 怨恨",
